Hour,Access,Alcohol,Align,Day,Hit,Light,Collision,Interection,Weather,ADT,Num Lanes,Pav Width,Dr Age,Dr Cond.,Dr Distract,Dr Gender,Num Occ,Veh Year,Violations,Ped Age,Ped Cond.,Ped Inj.,Ped Gender
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Rear End,TRUE,Clear,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Unk,Female,Two,2001-2010,Following Too Closely,Unk,Inattentive/Distracted,No Injury,Unk
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Over 10000,Four,Very Wide,55-64,Normal,Not Distracted,Male,One,1990 and Before,Unk,15-24,Inattentive/Distracted,Severe,Male
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,75-Inf,Inattentive/Distracted,Not Distracted,Male,One,2001-2010,Careless Operation,25-34,Normal,Moderate,Male
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,TRUE,"Dusk, Dawn",Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,55-64,Normal,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Single Vehicle,TRUE,Clear,Over 10000,Six,Very Wide,Unk,Unk,Unk,Unk,One,2001-2010,Careless Operation,15-24,Unk,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Single Vehicle,TRUE,Clear,Over 10000,Four,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,Unk,55-64,Unk,Fatal,Female
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Sideswipe,FALSE,Clear,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Outside Vehicle,Male,One,1991-2000,Vehicle Condition,Unk,Normal,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Abnormal,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Inattentive/Distracted,Unk,Male,One,1991-2000,Improper Backing,15-24,Unk,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Over 10000,Four,Very Wide,45-54,Normal,Outside Vehicle,Male,One,1991-2000,Careless Operation,45-54,Unk,No Injury,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Inattentive/Distracted,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Rear End,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Rear End,FALSE,Clear,Unk,No Info.,Unk,75-Inf,Inattentive/Distracted,Not Distracted,Male,One,1990 and Before,Careless Operation,35-44,Unk,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Two,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,5001-10000,Two,Very Wide,55-64,Normal,Not Distracted,Female,Two,1991-2000,Unk,15-24,Unk,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Outside Vehicle,Male,Two,1991-2000,Unk,15-24,Inattentive/Distracted,Severe,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Sideswipe,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,Two,1990 and Before,No Violations,Unk,Inattentive/Distracted,No Injury,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Head-On,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Male,One,1991-2000,No Violations,25-34,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,45-54,Unk,Not Distracted,Male,One,2001-2010,Unk,Unk,Inattentive/Distracted,Moderate,Female
12AM-6AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Abnormal,Over 10000,Two,Wide,25-34,Impaired,Unk,Male,One,1991-2000,Unk,Unk,Unk,Fatal,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,Two,2001-2010,Unk,15-24,Unk,No Injury,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,2001-2010,Unk,45-54,Inattentive/Distracted,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Male,One,1990 and Before,No Violations,15-24,Unk,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Over 10000,Six,Very Wide,25-34,Normal,Not Distracted,Male,One,1991-2000,No Violations,55-64,Inattentive/Distracted,No Injury,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,TRUE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Unk,Female,One,1991-2000,No Violations,55-64,Impaired,Moderate,Male
12PM-6PM,Unk,TRUE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Two,2001-2010,No Violations,45-54,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Over 10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,15-24,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,FALSE,Curve-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,65-74,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Normal,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,FALSE,Clear,Over 10000,Four,Very Wide,45-54,Normal,Not Distracted,Female,One,1991-2000,No Violations,35-44,Impaired,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Not Distracted,Female,Two,1991-2000,Unk,15-24,Inattentive/Distracted,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Unk,FALSE,Clear,5001-10000,Two,Narrow,15-24,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Normal,No Injury,Unk
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Right Angle,TRUE,Clear,5001-10000,Four,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,Unk,15-24,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,Unk,Unk,Moderate,Male
6AM-12PM,No Control,FALSE,Unk,Weekend,TRUE,Daylight,Unk,FALSE,Clear,Over 10000,Four,Very Wide,Unk,Inattentive/Distracted,Unk,Unk,One,Unk ,Unk,Unk,Inattentive/Distracted,No Injury,Unk
12AM-6AM,Partial Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Over 10000,Four,Very Wide,25-34,Normal,Not Distracted,Male,Two,2001-2010,No Violations,15-24,Unk,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,1991-2000,Unk,Unk,Unk,Complaint,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,TRUE,Daylight,Right Angle,TRUE,Abnormal,Over 10000,Six,Very Wide,Unk,Unk,Unk,Male,Two,Unk ,Unk,45-54,Impaired,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,5001-10000,Four,Very Wide,65-74,Normal,Not Distracted,Male,One,1991-2000,No Violations,45-54,Normal,Complaint,Male
6PM-12AM,Full Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,1990 and Before,Failure To Yield,25-34,Normal,Complaint,Male
12PM-6PM,No Control,TRUE,Straight-Level,Weekend,TRUE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,45-54,Impaired,Unk,Male,One,1991-2000,Careless Operation,15-24,Normal,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,Two,1991-2000,No Violations,45-54,Normal,Severe,Female
12PM-6PM,Full Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Over 10000,Four,Very Wide,45-54,Normal,Not Distracted,Male,One,1991-2000,No Violations,35-44,Normal,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Abnormal,Over 10000,Four,Very Wide,35-44,Inattentive/Distracted,Not Distracted,Male,One,2001-2010,No Violations,Unk,Unk,No Injury,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,75-Inf,Other,Unk,Male,Two,1991-2000,Unk,15-24,Normal,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,65-74,Normal,Not Distracted,Male,Two,1990 and Before,No Violations,Unk,Unk,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,FALSE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,Three,1990 and Before,No Violations,Unk,Unk,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,35-44,Inattentive/Distracted,Cell Phone,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Two,2001-2010,Exceeding Stated Speed Limit,15-24,Inattentive/Distracted,Moderate,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Right Angle,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Male,Two,Unk ,Failure To Yield,35-44,Unk,Moderate,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekday,FALSE,Dark - Street Light,Right Angle,FALSE,Clear,Unk,No Info.,Unk,55-64,Impaired,Not Distracted,Male,One,1991-2000,Careless Operation,15-24,Inattentive/Distracted,Moderate,Female
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Abnormal,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Two,1991-2000,No Violations,15-24,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Two,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,65-74,Normal,Outside Vehicle,Male,One,1991-2000,No Violations,55-64,Normal,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Abnormal,5001-10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,One,1991-2000,No Violations,45-54,Unk,Fatal,Female
12AM-6AM,No Control,TRUE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Other,Outside Vehicle,Female,Two,1991-2000,No Violations,15-24,Impaired,Moderate,Female
12AM-6AM,Full Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Left Turn,TRUE,Abnormal,Over 10000,Four,Very Wide,Unk,Unk,Unk,Unk,One,Unk ,Unk,15-24,Normal,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Outside Vehicle,Male,One,1990 and Before,Careless Operation,15-24,Inattentive/Distracted,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,2001-2010,Unk,Unk,Normal,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Clear,5001-10000,Four,Very Wide,35-44,Inattentive/Distracted,Inside Vehi.,Male,One,1991-2000,Careless Operation,25-34,Unk,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Over 10000,Four,Very Wide,75-Inf,Normal,Not Distracted,Male,Four,2001-2010,No Violations,Unk,Inattentive/Distracted,Moderate,Male
6PM-12AM,No Control,FALSE,On Grade,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Over 10000,Four,Very Wide,75-Inf,Normal,Not Distracted,Male,One,2001-2010,No Violations,15-24,Unk,Severe,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Normal,Complaint,Male
6PM-12AM,Full Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Abnormal,Over 10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,One,1991-2000,No Violations,55-64,Unk,Complaint,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Unk,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,Four,1991-2000,No Violations,15-24,Inattentive/Distracted,Moderate,Male
6PM-12AM,Unk,FALSE,Straight-Level,Weekday,FALSE,Unk,Unk,TRUE,Clear,Unk,No Info.,Unk,45-54,Normal,Unk,Female,One,1991-2000,Unk,25-34,Unk,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Over 10000,Four,Very Wide,25-34,Other,Not Distracted,Male,Three,2001-2010,No Violations,55-64,Inattentive/Distracted,Severe,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Clear,5001-10000,Four,Very Wide,25-34,Normal,Not Distracted,Male,Two,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,TRUE,Abnormal,5001-10000,Four,Very Wide,15-24,Normal,Not Distracted,Female,Three,2001-2010,No Violations,Unk,Unk,Complaint,Male
12AM-6AM,No Control,FALSE,Unk,Weekend,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,Two,1991-2000,No Violations,Unk,Illness,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Unk,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,One,2001-2010,Exceeding Stated Speed Limit,Unk,Unk,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,Unk,Normal,No Injury,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - No Street Lights,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,25-34,Normal,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12AM-6AM,Partial Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Unk,TRUE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,15-24,Unk,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,45-54,Unk,Unk,Female,One,2001-2010,Unk,55-64,Unk,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,TRUE,Clear,Over 10000,Four,Very Wide,25-34,Normal,Not Distracted,Female,Two,2001-2010,No Violations,15-24,Inattentive/Distracted,Moderate,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Outside Vehicle,Male,One,1990 and Before,Unk,Unk,Unk,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Right Angle,TRUE,Clear,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Not Distracted,Male,One,1991-2000,Disregarded Traffic Control,Unk,Normal,No Injury,Unk
6PM-12AM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Male,One,1991-2000,No Violations,15-24,Inattentive/Distracted,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,One,2001-2010,No Violations,35-44,Unk,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Inattentive/Distracted,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,FALSE,Clear,Over 10000,Two,Very Wide,55-64,Normal,Not Distracted,Female,Two,2001-2010,No Violations,35-44,Inattentive/Distracted,Moderate,Female
6PM-12AM,Partial Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,55-64,Normal,Not Distracted,Male,One,2001-2010,No Violations,35-44,Unk,Fatal,Male
12AM-6AM,No Control,TRUE,Straight-Level,Weekday,FALSE,Dark - No Street Lights,Unk,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,One,2001-2010,No Violations,45-54,Unk,Moderate,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Right Angle,FALSE,Clear,Unk,No Info.,Unk,25-34,Normal,Not Distracted,Female,Three,1991-2000,No Violations,Unk,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Failure To Yield,25-34,Normal,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Male,One,Unk ,Unk,Unk,Unk,Complaint,Male
12PM-6PM,Partial Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,Two,2001-2010,No Violations,Unk,Inattentive/Distracted,Complaint,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,Two,2001-2010,No Violations,25-34,Normal,Moderate,Male
6PM-12AM,Full Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Head-On,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,1991-2000,No Violations,Unk,Normal,No Injury,Unk
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,15-24,Inattentive/Distracted,Unk,Female,One,1991-2000,Careless Operation,Unk,Normal,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,55-64,Unk,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,One,1991-2000,No Violations,Unk,Unk,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Female,One,2001-2010,No Violations,Unk,Inattentive/Distracted,Moderate,Male
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,35-44,Unk,Moderate,Male
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,35-44,Unk,Unk,Male,One,2001-2010,Unk,45-54,Unk,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,Unk,No Info.,Unk,55-64,Inattentive/Distracted,Unk,Female,One,1991-2000,Improper Backing,75-Inf,Unk,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Female,Three,1991-2000,No Violations,Unk,Normal,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,45-54,Normal,No Injury,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Over 10000,Two,Narrow,65-74,Normal,Not Distracted,Male,Two,2001-2010,No Violations,15-24,Unk,No Injury,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Unk,Unk,Male,Three,1991-2000,Unk,35-44,Unk,Moderate,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Male,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,Complaint,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,15-24,Normal,Not Distracted,Male,One,2001-2010,No Violations,Unk,Normal,Moderate,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Male,Four,2001-2010,No Violations,35-44,Unk,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Careless Operation,35-44,Normal,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,45-54,Normal,Not Distracted,Female,One,1991-2000,No Violations,55-64,Unk,No Injury,Male
6AM-12PM,Full Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Unk,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,15-24,Unk,Moderate,Female
12AM-6AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Not Distracted,Female,Two,2001-2010,No Violations,25-34,Impaired,Moderate,Female
6AM-12PM,Full Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Sideswipe,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,35-44,Normal,No Injury,Male
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,TRUE,Dark - Street Light,Head-On,TRUE,Clear,Unk,No Info.,Unk,Unk,Unk,Unk,Unk,One,Unk ,Unk,15-24,Unk,Severe,Male
12PM-6PM,No Control,TRUE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Impaired,Not Distracted,Male,One,2001-2010,Unk,Unk,Normal,Complaint,Female
